date,trend_name,google_score,category
2021-09-05,Coastal Cowgirl,0,Womenswear
2021-09-12,Coastal Cowgirl,0,Womenswear
2021-09-19,Coastal Cowgirl,0,Womenswear
2021-09-26,Coastal Cowgirl,0,Womenswear
2021-10-03,Coastal Cowgirl,0,Womenswear
2021-10-10,Coastal Cowgirl,0,Womenswear
2021-10-17,Coastal Cowgirl,0,Womenswear
2021-10-24,Coastal Cowgirl,0,Womenswear
2021-10-31,Coastal Cowgirl,0,Womenswear
2021-11-07,Coastal Cowgirl,0,Womenswear
2021-11-14,Coastal Cowgirl,0,Womenswear
2021-11-21,Coastal Cowgirl,0,Womenswear
2021-11-28,Coastal Cowgirl,0,Womenswear
2021-12-05,Coastal Cowgirl,0,Womenswear
2021-12-12,Coastal Cowgirl,0,Womenswear
2021-12-19,Coastal Cowgirl,0,Womenswear
2021-12-26,Coastal Cowgirl,0,Womenswear
2022-01-02,Coastal Cowgirl,0,Womenswear
2022-01-09,Coastal Cowgirl,0,Womenswear
2022-01-16,Coastal Cowgirl,0,Womenswear
2022-01-23,Coastal Cowgirl,0,Womenswear
2022-01-30,Coastal Cowgirl,0,Womenswear
2022-02-06,Coastal Cowgirl,0,Womenswear
2022-02-13,Coastal Cowgirl,0,Womenswear
2022-02-20,Coastal Cowgirl,0,Womenswear
2022-02-27,Coastal Cowgirl,0,Womenswear
2022-03-06,Coastal Cowgirl,0,Womenswear
2022-03-13,Coastal Cowgirl,0,Womenswear
2022-03-20,Coastal Cowgirl,0,Womenswear
2022-03-27,Coastal Cowgirl,0,Womenswear
2022-04-03,Coastal Cowgirl,0,Womenswear
2022-04-10,Coastal Cowgirl,0,Womenswear
2022-04-17,Coastal Cowgirl,0,Womenswear
2022-04-24,Coastal Cowgirl,0,Womenswear
2022-05-01,Coastal Cowgirl,0,Womenswear
2022-05-08,Coastal Cowgirl,0,Womenswear
2022-05-15,Coastal Cowgirl,0,Womenswear
2022-05-22,Coastal Cowgirl,0,Womenswear
2022-05-29,Coastal Cowgirl,0,Womenswear
2022-06-05,Coastal Cowgirl,0,Womenswear
2022-06-12,Coastal Cowgirl,0,Womenswear
2022-06-19,Coastal Cowgirl,0,Womenswear
2022-06-26,Coastal Cowgirl,0,Womenswear
2022-07-03,Coastal Cowgirl,0,Womenswear
2022-07-10,Coastal Cowgirl,0,Womenswear
2022-07-17,Coastal Cowgirl,0,Womenswear
2022-07-24,Coastal Cowgirl,0,Womenswear
2022-07-31,Coastal Cowgirl,0,Womenswear
2022-08-07,Coastal Cowgirl,0,Womenswear
2022-08-14,Coastal Cowgirl,0,Womenswear
2022-08-21,Coastal Cowgirl,0,Womenswear
2022-08-28,Coastal Cowgirl,0,Womenswear
2022-09-04,Coastal Cowgirl,10,Womenswear
2022-09-11,Coastal Cowgirl,0,Womenswear
2022-09-18,Coastal Cowgirl,0,Womenswear
2022-09-25,Coastal Cowgirl,0,Womenswear
2022-10-02,Coastal Cowgirl,0,Womenswear
